"GEOID","year","County","Geography","variable","Variable_Description","estimate","moe"
"3605546558",2017,"Monroe","Mendon town","B03002_009","Two or More Races (Non-Hispanic)",1.27567567567568,1.01620887955276
"3605556561",2017,"Monroe","Parma town","B03002_003","White (Non-Hispanic)",93.7911392405063,2.71144962058554
"3605556561",2017,"Monroe","Parma town","B03002_004","Black (Non-Hispanic)",0.670886075949367,0.772151226263556
"3605556561",2017,"Monroe","Parma town","B03002_012","Hispanic or Latino (Any Race)",4.05063291139241,2.14556079794204
"3605556561",2017,"Monroe","Parma town","B03002_006","Asian (Non-Hispanic)",0.575949367088608,0.531644849798413
"3605556561",2017,"Monroe","Parma town","B03002_005","Native American (Non-Hispanic)",0.183544303797468,0.234177049225201
"3605556561",2017,"Monroe","Parma town","B03002_007","Pacific Islander (Non-Hispanic)",0,0.113924050632911
"3605556561",2017,"Monroe","Parma town","B03002_008","Other (Non-Hispanic)",0,0.113924050632911
"3605556561",2017,"Monroe","Parma town","B03002_009","Two or More Races (Non-Hispanic)",0.727848101265823,0.537973547491703
"3605515462",2017,"Monroe","Chili town","B03002_003","White (Non-Hispanic)",82.5307911766753,2.18357990487812
"3605515462",2017,"Monroe","Chili town","B03002_004","Black (Non-Hispanic)",10.1837032913506,1.4055759623035
"3605515462",2017,"Monroe","Chili town","B03002_012","Hispanic or Latino (Any Race)",3.6392735369842,1.08551406549286
"3605515462",2017,"Monroe","Chili town","B03002_006","Asian (Non-Hispanic)",1.48911001322107,0.723678280610556
"3605515462",2017,"Monroe","Chili town","B03002_005","Native American (Non-Hispanic)",0.173961450142648,0.156565219843082
"3605515462",2017,"Monroe","Chili town","B03002_007","Pacific Islander (Non-Hispanic)",0,0.0730638090599123
"3605515462",2017,"Monroe","Chili town","B03002_008","Other (Non-Hispanic)",0,0.0730638090599123
"3605515462",2017,"Monroe","Chili town","B03002_009","Two or More Races (Non-Hispanic)",1.98316053162619,0.85588830719794
"3605557221",2017,"Monroe","Perinton town","B03002_003","White (Non-Hispanic)",89.513501928847,1.76275475683826
"3605557221",2017,"Monroe","Perinton town","B03002_004","Black (Non-Hispanic)",1.72096013716245,0.615086737333503
"3605557221",2017,"Monroe","Perinton town","B03002_012","Hispanic or Latino (Any Race)",3.42263180454351,1.01585669662341
"3605557221",2017,"Monroe","Perinton town","B03002_006","Asian (Non-Hispanic)",3.91984569224175,0.972992428594698
"3605557221",2017,"Monroe","Perinton town","B03002_005","Native American (Non-Hispanic)",0.0685812258894128,0.0814401921620396
"3605557221",2017,"Monroe","Perinton town","B03002_007","Pacific Islander (Non-Hispanic)",0,0.0514359194170596
"3605557221",2017,"Monroe","Perinton town","B03002_008","Other (Non-Hispanic)",0.0535790827261037,0.0557222339196163
"3605557221",2017,"Monroe","Perinton town","B03002_009","Two or More Races (Non-Hispanic)",1.3009001285898,0.42648856533028
"3605564144",2017,"Monroe","Rush town","B03002_003","White (Non-Hispanic)",94.4841383252358,2.54963398443907
"3605564144",2017,"Monroe","Rush town","B03002_004","Black (Non-Hispanic)",1.686196056016,1.2860491432843
"3605564144",2017,"Monroe","Rush town","B03002_012","Hispanic or Latino (Any Race)",3.4581308945413,2.28629041954102
"3605564144",2017,"Monroe","Rush town","B03002_006","Asian (Non-Hispanic)",0.20005715918834,0.285793877063853
"3605564144",2017,"Monroe","Rush town","B03002_005","Native American (Non-Hispanic)",0,0.314375535867391
"3605564144",2017,"Monroe","Rush town","B03002_007","Pacific Islander (Non-Hispanic)",0,0.314375535867391
"3605564144",2017,"Monroe","Rush town","B03002_008","Other (Non-Hispanic)",0,0.314375535867391
"3605564144",2017,"Monroe","Rush town","B03002_009","Two or More Races (Non-Hispanic)",0.171477565018577,0.342953865977895
"3605578971",2017,"Monroe","Webster town","B03002_003","White (Non-Hispanic)",89.3768089725036,1.59055442500793
"3605578971",2017,"Monroe","Webster town","B03002_004","Black (Non-Hispanic)",2.19111794500724,0.809510936313041
"3605578971",2017,"Monroe","Webster town","B03002_012","Hispanic or Latino (Any Race)",2.34488060781476,0.642179090004699
"3605578971",2017,"Monroe","Webster town","B03002_006","Asian (Non-Hispanic)",3.75814037626628,1.05597809404351
"3605578971",2017,"Monroe","Webster town","B03002_005","Native American (Non-Hispanic)",0.0361794500723589,0.0407018582365475
"3605578971",2017,"Monroe","Webster town","B03002_007","Pacific Islander (Non-Hispanic)",0,0.0542691751085384
"3605578971",2017,"Monroe","Webster town","B03002_008","Other (Non-Hispanic)",0.00452243125904486,0.00904486089423296
"3605578971",2017,"Monroe","Webster town","B03002_009","Two or More Races (Non-Hispanic)",2.2883502170767,1.07181269981614
"3605515957",2017,"Monroe","Clarkson town","B03002_003","White (Non-Hispanic)",90.3405043453483,7.36207724914582
"3605515957",2017,"Monroe","Clarkson town","B03002_004","Black (Non-Hispanic)",0.0569881749536971,0.142470362427728
"3605515957",2017,"Monroe","Clarkson town","B03002_012","Hispanic or Latino (Any Race)",9.3318136486679,7.4369183277536
"3605515957",2017,"Monroe","Clarkson town","B03002_006","Asian (Non-Hispanic)",0.270693831030061,0.39891662067331
"3605515957",2017,"Monroe","Clarkson town","B03002_005","Native American (Non-Hispanic)",0,0.227952699814788
"3605515957",2017,"Monroe","Clarkson town","B03002_007","Pacific Islander (Non-Hispanic)",0,0.227952699814788
"3605515957",2017,"Monroe","Clarkson town","B03002_008","Other (Non-Hispanic)",0,0.227952699814788
"3605515957",2017,"Monroe","Clarkson town","B03002_009","Two or More Races (Non-Hispanic)",0,0.227952699814788
"3605572455",2017,"Monroe","Sweden town","B03002_003","White (Non-Hispanic)",87.7813731007316,1.85010975917502
"3605572455",2017,"Monroe","Sweden town","B03002_004","Black (Non-Hispanic)",2.65194147439505,0.844105367755513
"3605572455",2017,"Monroe","Sweden town","B03002_012","Hispanic or Latino (Any Race)",4.82554867754643,1.42794121271759
"3605572455",2017,"Monroe","Sweden town","B03002_006","Asian (Non-Hispanic)",2.3564997186269,0.956658834317506
"3605572455",2017,"Monroe","Sweden town","B03002_005","Native American (Non-Hispanic)",0.0492402926280248,0.0773775502943388
"3605572455",2017,"Monroe","Sweden town","B03002_007","Pacific Islander (Non-Hispanic)",0,0.126617895329207
"3605572455",2017,"Monroe","Sweden town","B03002_008","Other (Non-Hispanic)",0,0.126617895329207
"3605572455",2017,"Monroe","Sweden town","B03002_009","Two or More Races (Non-Hispanic)",2.33539673607203,0.984796589923805
"3609918663",2017,"Seneca","Covert town","B03002_003","White (Non-Hispanic)",96.3579136690647,8.61201495124649
"3609918663",2017,"Seneca","Covert town","B03002_004","Black (Non-Hispanic)",0,0.494604316546763
"3609918663",2017,"Seneca","Covert town","B03002_012","Hispanic or Latino (Any Race)",1.12410071942446,1.30200784015287
"3609918663",2017,"Seneca","Covert town","B03002_006","Asian (Non-Hispanic)",0.899280575539568,0.762259270663207
"3609918663",2017,"Seneca","Covert town","B03002_005","Native American (Non-Hispanic)",0.629496402877698,0.763345914209644
"3609918663",2017,"Seneca","Covert town","B03002_007","Pacific Islander (Non-Hispanic)",0,0.494604316546763
"3609918663",2017,"Seneca","Covert town","B03002_008","Other (Non-Hispanic)",0,0.494604316546763
"3609918663",2017,"Seneca","Covert town","B03002_009","Two or More Races (Non-Hispanic)",0.989208633093525,0.987218584738127
"3609978564",2017,"Seneca","Waterloo town","B03002_003","White (Non-Hispanic)",94.2807393517278,2.03119602296128
"3609978564",2017,"Seneca","Waterloo town","B03002_004","Black (Non-Hispanic)",1.5269220466113,1.54030040405051
"3609978564",2017,"Seneca","Waterloo town","B03002_012","Hispanic or Latino (Any Race)",2.12965443343156,0.830374653984485
"3609978564",2017,"Seneca","Waterloo town","B03002_006","Asian (Non-Hispanic)",0.01339405304045,0.0267880366369448
"3609978564",2017,"Seneca","Waterloo town","B03002_005","Native American (Non-Hispanic)",0,0.214304848647201
"3609978564",2017,"Seneca","Waterloo town","B03002_007","Pacific Islander (Non-Hispanic)",0,0.214304848647201
"3609978564",2017,"Seneca","Waterloo town","B03002_008","Other (Non-Hispanic)",0,0.214304848647201
"3609978564",2017,"Seneca","Waterloo town","B03002_009","Two or More Races (Non-Hispanic)",2.04929011518886,1.44652762413975
"3609966333",2017,"Seneca","Seneca Falls town","B03002_003","White (Non-Hispanic)",91.1971034170627,2.03754989017906
"3609966333",2017,"Seneca","Seneca Falls town","B03002_004","Black (Non-Hispanic)",2.33084408237158,1.61800452773296
"3609966333",2017,"Seneca","Seneca Falls town","B03002_012","Hispanic or Latino (Any Race)",2.44399185336049,1.04094480076564
"3609966333",2017,"Seneca","Seneca Falls town","B03002_006","Asian (Non-Hispanic)",1.90088255261371,0.622297873243057
"3609966333",2017,"Seneca","Seneca Falls town","B03002_005","Native American (Non-Hispanic)",0.10183299389002,0.158406711764715
"3609966333",2017,"Seneca","Seneca Falls town","B03002_007","Pacific Islander (Non-Hispanic)",0.0339443312966735,0.0678886191363809
"3609966333",2017,"Seneca","Seneca Falls town","B03002_008","Other (Non-Hispanic)",0.0113147770988912,0.022629539712127
"3609966333",2017,"Seneca","Seneca Falls town","B03002_009","Two or More Races (Non-Hispanic)",1.98008599230595,0.769391794877129
"3609925505",2017,"Seneca","Fayette town","B03002_003","White (Non-Hispanic)",94.7436227776346,2.22708557691245
"3609925505",2017,"Seneca","Fayette town","B03002_004","Black (Non-Hispanic)",0,0.283432105127544
"3609925505",2017,"Seneca","Fayette town","B03002_012","Hispanic or Latino (Any Race)",1.90672507085803,1.49433735582684
"3609925505",2017,"Seneca","Fayette town","B03002_006","Asian (Non-Hispanic)",0.592630765266684,0.721438960808543
"3609925505",2017,"Seneca","Fayette town","B03002_005","Native American (Non-Hispanic)",0,0.283432105127544
"3609925505",2017,"Seneca","Fayette town","B03002_007","Pacific Islander (Non-Hispanic)",0,0.283432105127544
"3609925505",2017,"Seneca","Fayette town","B03002_008","Other (Non-Hispanic)",0,0.283432105127544
"3609925505",2017,"Seneca","Fayette town","B03002_009","Two or More Races (Non-Hispanic)",2.75702138624066,1.829215607313
"3609975902",2017,"Seneca","Tyre town","B03002_003","White (Non-Hispanic)",99.572192513369,1.25506527744679
"3609975902",2017,"Seneca","Tyre town","B03002_004","Black (Non-Hispanic)",0,1.17647058823529
"3609975902",2017,"Seneca","Tyre town","B03002_012","Hispanic or Latino (Any Race)",0,1.17647058823529
"3609975902",2017,"Seneca","Tyre town","B03002_006","Asian (Non-Hispanic)",0,1.17647058823529
"3609975902",2017,"Seneca","Tyre town","B03002_005","Native American (Non-Hispanic)",0.427807486631016,0.531592852345746
"3609975902",2017,"Seneca","Tyre town","B03002_007","Pacific Islander (Non-Hispanic)",0,1.17647058823529
"3609975902",2017,"Seneca","Tyre town","B03002_008","Other (Non-Hispanic)",0,1.17647058823529
"3609975902",2017,"Seneca","Tyre town","B03002_009","Two or More Races (Non-Hispanic)",0,1.17647058823529
"3609943225",2017,"Seneca","Lodi town","B03002_003","White (Non-Hispanic)",98.1888745148771,1.74678528516494
"3609943225",2017,"Seneca","Lodi town","B03002_004","Black (Non-Hispanic)",0,0.711513583441138
"3609943225",2017,"Seneca","Lodi town","B03002_012","Hispanic or Latino (Any Race)",0.905562742561449,0.769553533017034
"3609943225",2017,"Seneca","Lodi town","B03002_006","Asian (Non-Hispanic)",0.19404915912031,0.322685477538027
"3609943225",2017,"Seneca","Lodi town","B03002_005","Native American (Non-Hispanic)",0.0646830530401035,0.12916345728074
"3609943225",2017,"Seneca","Lodi town","B03002_007","Pacific Islander (Non-Hispanic)",0,0.711513583441138
"3609943225",2017,"Seneca","Lodi town","B03002_008","Other (Non-Hispanic)",0,0.711513583441138
"3609943225",2017,"Seneca","Lodi town","B03002_009","Two or More Races (Non-Hispanic)",0.646830530401035,0.577630171332415
"3609963440",2017,"Seneca","Romulus town","B03002_003","White (Non-Hispanic)",57.7639751552795,4.98088232329879
"3609963440",2017,"Seneca","Romulus town","B03002_004","Black (Non-Hispanic)",28.8244766505636,4.29862210918472
"3609963440",2017,"Seneca","Romulus town","B03002_012","Hispanic or Latino (Any Race)",11.1341154819416,2.18447692944635
"3609963440",2017,"Seneca","Romulus town","B03002_006","Asian (Non-Hispanic)",0.138026224982747,0.253046834070149
"3609963440",2017,"Seneca","Romulus town","B03002_005","Native American (Non-Hispanic)",1.19622728318381,0.943154113526105
"3609963440",2017,"Seneca","Romulus town","B03002_007","Pacific Islander (Non-Hispanic)",0,0.253048079135036
"3609963440",2017,"Seneca","Romulus town","B03002_008","Other (Non-Hispanic)",0,0.253048079135036
"3609963440",2017,"Seneca","Romulus town","B03002_009","Two or More Races (Non-Hispanic)",0.943179204048769,0.690109807512117
"3609938858",2017,"Seneca","Junius town","B03002_003","White (Non-Hispanic)",94.8148148148148,4.70175770951398
"3609938858",2017,"Seneca","Junius town","B03002_004","Black (Non-Hispanic)",0,0.740740740740741
"3609938858",2017,"Seneca","Junius town","B03002_012","Hispanic or Latino (Any Race)",4.04040404040404,3.33874223340256
"3609938858",2017,"Seneca","Junius town","B03002_006","Asian (Non-Hispanic)",0.202020202020202,0.268479374960297
"3609938858",2017,"Seneca","Junius town","B03002_005","Native American (Non-Hispanic)",0,0.740740740740741
"3609938858",2017,"Seneca","Junius town","B03002_007","Pacific Islander (Non-Hispanic)",0,0.740740740740741
"3609938858",2017,"Seneca","Junius town","B03002_008","Other (Non-Hispanic)",0,0.740740740740741
"3609938858",2017,"Seneca","Junius town","B03002_009","Two or More Races (Non-Hispanic)",0.942760942760943,0.801671203387496
