"GEOID","year","County","Geography","variable","Variable_Description","estimate","moe"
"36055",2020,"Monroe","NA County","B19013H_001","White (Non-Hispanic)",71773,1155
"36055",2020,"Monroe","NA County","B19013I_001","Hispanic or Latino (Any Race)",35417,3338
"36069",2020,"Ontario","NA County","B19013B_001","Black (Non-Hispanic)",28510,5664
"36069",2020,"Ontario","NA County","B19013C_001","Native American (Non-Hispanic)",NA,NA
"36069",2020,"Ontario","NA County","B19013D_001","Asian (Non-Hispanic)",130272,59646
"36069",2020,"Ontario","NA County","B19013E_001","Pacific Islander (Non-Hispanic)",NA,NA
"36069",2020,"Ontario","NA County","B19013F_001","Other (Non-Hispanic)",38382,16561
"36069",2020,"Ontario","NA County","B19013G_001","Two or More Races (Non-Hispanic)",56947,11745
"36069",2020,"Ontario","NA County","B19013H_001","White (Non-Hispanic)",66091,2175
"36069",2020,"Ontario","NA County","B19013I_001","Hispanic or Latino (Any Race)",43977,12672
"36073",2020,"Orleans","NA County","B19013B_001","Black (Non-Hispanic)",65179,54428
"36073",2020,"Orleans","NA County","B19013C_001","Native American (Non-Hispanic)",21100,7631
"36073",2020,"Orleans","NA County","B19013D_001","Asian (Non-Hispanic)",110903,42268
"36073",2020,"Orleans","NA County","B19013E_001","Pacific Islander (Non-Hispanic)",NA,NA
"36073",2020,"Orleans","NA County","B19013F_001","Other (Non-Hispanic)",16953,13080
"36073",2020,"Orleans","NA County","B19013G_001","Two or More Races (Non-Hispanic)",61833,33544
"36073",2020,"Orleans","NA County","B19013H_001","White (Non-Hispanic)",53237,2372
"36073",2020,"Orleans","NA County","B19013I_001","Hispanic or Latino (Any Race)",47031,21867
"36099",2020,"Seneca","NA County","B19013B_001","Black (Non-Hispanic)",42188,26303
"36099",2020,"Seneca","NA County","B19013C_001","Native American (Non-Hispanic)",NA,NA
"36099",2020,"Seneca","NA County","B19013D_001","Asian (Non-Hispanic)",NA,NA
"36099",2020,"Seneca","NA County","B19013E_001","Pacific Islander (Non-Hispanic)",NA,NA
"36099",2020,"Seneca","NA County","B19013F_001","Other (Non-Hispanic)",38654,12692
"36099",2020,"Seneca","NA County","B19013G_001","Two or More Races (Non-Hispanic)",NA,NA
"36099",2020,"Seneca","NA County","B19013H_001","White (Non-Hispanic)",56222,2648
"36099",2020,"Seneca","NA County","B19013I_001","Hispanic or Latino (Any Race)",NA,NA
"36117",2020,"Wayne","NA County","B19013B_001","Black (Non-Hispanic)",24375,19919
"36117",2020,"Wayne","NA County","B19013C_001","Native American (Non-Hispanic)",NA,NA
"36117",2020,"Wayne","NA County","B19013D_001","Asian (Non-Hispanic)",91750,37328
"36117",2020,"Wayne","NA County","B19013E_001","Pacific Islander (Non-Hispanic)",NA,NA
"36117",2020,"Wayne","NA County","B19013F_001","Other (Non-Hispanic)",NA,NA
"36117",2020,"Wayne","NA County","B19013G_001","Two or More Races (Non-Hispanic)",61607,17381
"36117",2020,"Wayne","NA County","B19013H_001","White (Non-Hispanic)",63278,2120
"36117",2020,"Wayne","NA County","B19013I_001","Hispanic or Latino (Any Race)",45875,14996
"36123",2020,"Yates","NA County","B19013B_001","Black (Non-Hispanic)",16472,706
"36123",2020,"Yates","NA County","B19013C_001","Native American (Non-Hispanic)",NA,NA
"36123",2020,"Yates","NA County","B19013D_001","Asian (Non-Hispanic)",33125,12281
"36123",2020,"Yates","NA County","B19013E_001","Pacific Islander (Non-Hispanic)",NA,NA
"36123",2020,"Yates","NA County","B19013F_001","Other (Non-Hispanic)",NA,NA
"36123",2020,"Yates","NA County","B19013G_001","Two or More Races (Non-Hispanic)",48750,35112
"36123",2020,"Yates","NA County","B19013H_001","White (Non-Hispanic)",56134,3618
"36123",2020,"Yates","NA County","B19013I_001","Hispanic or Latino (Any Race)",54375,47222
"36037",2021,"Genesee","NA County","B19013B_001","Black (Non-Hispanic)",36384,20871
"36037",2021,"Genesee","NA County","B19013C_001","Native American (Non-Hispanic)",37813,20121
"36037",2021,"Genesee","NA County","B19013D_001","Asian (Non-Hispanic)",NA,NA
"36037",2021,"Genesee","NA County","B19013E_001","Pacific Islander (Non-Hispanic)",NA,NA
"36037",2021,"Genesee","NA County","B19013F_001","Other (Non-Hispanic)",75000,39653
"36037",2021,"Genesee","NA County","B19013G_001","Two or More Races (Non-Hispanic)",50185,14180
"36037",2021,"Genesee","NA County","B19013H_001","White (Non-Hispanic)",65794,3991
"36037",2021,"Genesee","NA County","B19013I_001","Hispanic or Latino (Any Race)",52333,11524
"36051",2021,"Livingston","NA County","B19013B_001","Black (Non-Hispanic)",32188,20860
"36051",2021,"Livingston","NA County","B19013C_001","Native American (Non-Hispanic)",NA,NA
"36051",2021,"Livingston","NA County","B19013D_001","Asian (Non-Hispanic)",NA,NA
"36051",2021,"Livingston","NA County","B19013E_001","Pacific Islander (Non-Hispanic)",NA,NA
"36051",2021,"Livingston","NA County","B19013F_001","Other (Non-Hispanic)",NA,NA
"36051",2021,"Livingston","NA County","B19013G_001","Two or More Races (Non-Hispanic)",57232,13670
"36051",2021,"Livingston","NA County","B19013H_001","White (Non-Hispanic)",65711,3060
"36051",2021,"Livingston","NA County","B19013I_001","Hispanic or Latino (Any Race)",48438,23557
"36055",2021,"Monroe","NA County","B19013B_001","Black (Non-Hispanic)",36168,1624
"36055",2021,"Monroe","NA County","B19013C_001","Native American (Non-Hispanic)",30100,6044
"36055",2021,"Monroe","NA County","B19013D_001","Asian (Non-Hispanic)",64700,5520
"36055",2021,"Monroe","NA County","B19013E_001","Pacific Islander (Non-Hispanic)",40893,15563
"36055",2021,"Monroe","NA County","B19013F_001","Other (Non-Hispanic)",37383,5299
"36055",2021,"Monroe","NA County","B19013G_001","Two or More Races (Non-Hispanic)",53381,5207
"36055",2021,"Monroe","NA County","B19013H_001","White (Non-Hispanic)",75666,1127
"36055",2021,"Monroe","NA County","B19013I_001","Hispanic or Latino (Any Race)",39124,3244
"36069",2021,"Ontario","NA County","B19013B_001","Black (Non-Hispanic)",52321,20877
"36069",2021,"Ontario","NA County","B19013C_001","Native American (Non-Hispanic)",43125,33388
"36069",2021,"Ontario","NA County","B19013D_001","Asian (Non-Hispanic)",105789,50066
"36069",2021,"Ontario","NA County","B19013E_001","Pacific Islander (Non-Hispanic)",NA,NA
"36069",2021,"Ontario","NA County","B19013F_001","Other (Non-Hispanic)",52614,37961
"36069",2021,"Ontario","NA County","B19013G_001","Two or More Races (Non-Hispanic)",67917,18421
"36069",2021,"Ontario","NA County","B19013H_001","White (Non-Hispanic)",71990,3168
"36069",2021,"Ontario","NA County","B19013I_001","Hispanic or Latino (Any Race)",58790,6441
"36073",2021,"Orleans","NA County","B19013B_001","Black (Non-Hispanic)",NA,NA
"36073",2021,"Orleans","NA County","B19013C_001","Native American (Non-Hispanic)",39167,34733
"36073",2021,"Orleans","NA County","B19013D_001","Asian (Non-Hispanic)",116875,20688
"36073",2021,"Orleans","NA County","B19013E_001","Pacific Islander (Non-Hispanic)",NA,NA
"36073",2021,"Orleans","NA County","B19013F_001","Other (Non-Hispanic)",15942,11427
"36073",2021,"Orleans","NA County","B19013G_001","Two or More Races (Non-Hispanic)",98068,71214
"36073",2021,"Orleans","NA County","B19013H_001","White (Non-Hispanic)",55321,3237
"36073",2021,"Orleans","NA County","B19013I_001","Hispanic or Latino (Any Race)",38214,32028
"36099",2021,"Seneca","NA County","B19013B_001","Black (Non-Hispanic)",41429,29753
"36099",2021,"Seneca","NA County","B19013C_001","Native American (Non-Hispanic)",NA,NA
"36099",2021,"Seneca","NA County","B19013D_001","Asian (Non-Hispanic)",54485,24866
"36099",2021,"Seneca","NA County","B19013E_001","Pacific Islander (Non-Hispanic)",NA,NA
"36099",2021,"Seneca","NA County","B19013F_001","Other (Non-Hispanic)",58155,46750
"36099",2021,"Seneca","NA County","B19013G_001","Two or More Races (Non-Hispanic)",NA,NA
"36099",2021,"Seneca","NA County","B19013H_001","White (Non-Hispanic)",60429,2668
"36099",2021,"Seneca","NA County","B19013I_001","Hispanic or Latino (Any Race)",NA,NA
"36117",2021,"Wayne","NA County","B19013B_001","Black (Non-Hispanic)",44659,14338
"36117",2021,"Wayne","NA County","B19013C_001","Native American (Non-Hispanic)",NA,NA
"36117",2021,"Wayne","NA County","B19013D_001","Asian (Non-Hispanic)",100500,45298
"36117",2021,"Wayne","NA County","B19013E_001","Pacific Islander (Non-Hispanic)",NA,NA
"36117",2021,"Wayne","NA County","B19013F_001","Other (Non-Hispanic)",23263,4670
"36117",2021,"Wayne","NA County","B19013G_001","Two or More Races (Non-Hispanic)",54806,9427
"36117",2021,"Wayne","NA County","B19013H_001","White (Non-Hispanic)",65392,2264
"36117",2021,"Wayne","NA County","B19013I_001","Hispanic or Latino (Any Race)",52883,19303
